baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000030513.14	1227.61787870324	-2.47349721434687	0.110088818735092	-22.4681965231989	8.49722423418195e-112	2.74632942631334e-109
ENSMUSG00000042377.8	350.222411542578	-4.34390963233979	0.193524349853401	-22.4463207634098	1.39012592052511e-111	4.42380841016336e-109
ENSMUSG00000020435.17	376.575076765575	-4.64751748873355	0.207624712580685	-22.3842211794874	5.60765613213122e-111	1.75749041050203e-108
ENSMUSG00000084128.10	455.493321636128	-4.29444818446181	0.192027110479628	-22.3637598552388	8.8715116214707e-111	2.73891369985256e-108
ENSMUSG00000002799.6	445.811319899385	-4.57602958931533	0.207284672904225	-22.0760634406851	5.36864082360722e-108	1.63309316818111e-105
ENSMUSG00000026380.10	349.696281404085	-4.88229441833296	0.221701740683967	-22.0219038572756	1.7764194184187e-107	5.32539647391171e-105
ENSMUSG00000044017.16	438.253429767316	-6.25969588515979	0.286320904225784	-21.8625178698919	5.90931364544669e-106	1.7462021822295e-103
ENSMUSG00000068876.16	633.879381503636	-7.56666117725833	0.346690544889737	-21.8254039194085	1.33156145666922e-105	3.8793448917187e-103
ENSMUSG00000025813.14	498.492965693684	-3.09674999891565	0.142018894109033	-21.8051972474744	2.07111956221636e-105	5.95015390895076e-103
ENSMUSG00000024011.17	380.251966238917	-5.16737613276292	0.237077205147002	-21.7961744974968	2.52238176841139e-105	7.14732423008076e-103
ENSMUSG00000037411.10	7312.67516794761	2.11274890525231	0.0969628142086429	21.7892696545104	2.93290807177191e-105	8.19827073845972e-103
ENSMUSG00000038732.15	746.590121891775	-2.98808482575641	0.138100549807878	-21.6370233855937	8.05374500354125e-104	2.22122287197668e-101
ENSMUSG00000026110.15	400.929798633899	-3.48229674176764	0.16119248325958	-21.6033444696043	1.67070822783372e-103	4.54718417009743e-101
ENSMUSG00000056724.15	627.330702578296	-3.20048718124082	0.148592616234597	-21.5386690290715	6.76219470918469e-103	1.81657139687643e-100
ENSMUSG00000044041.4	962.310742497877	-8.68919174398234	0.404120040765742	-21.5015115991717	1.50698793692855e-102	3.99641608658551e-100
ENSMUSG00000063727.3	1654.62631889409	2.42163392480128	0.112940536523876	21.4416718685354	5.46160196603456e-102	1.43004097047373e-99
ENSMUSG00000033987.16	751.890671712474	-4.69040816908074	0.219344439263043	-21.3837569114569	1.8926283392637e-101	4.89362714970869e-99
ENSMUSG00000003526.12	343.80406559932	-4.92309254332799	0.230667909332928	-21.3427717690126	4.55148303501491e-101	1.16231390838621e-98
ENSMUSG00000033644.5	531.934758008441	-7.24111066870396	0.341589650791928	-21.198272991926	9.9065504899112e-100	2.49898776687577e-97
ENSMUSG00000022665.15	15843.768236275	1.66581739056488	0.0786917237365233	21.168902032727	1.84812900744304e-99	4.60584921915172e-97
ENSMUSG00000003279.17	465.751348531818	-6.6300439950896	0.313342767822556	-21.1590777765905	2.27631153355243e-99	5.60541715137285e-97
ENSMUSG00000044646.15	626.102314365626	-3.28200054017947	0.156079813377799	-21.0277067171731	3.65915767744304e-98	8.90466783034227e-96
ENSMUSG00000022055.7	421.833717947368	-5.57582919907499	0.265475366980369	-21.0031885914572	6.13281470261333e-98	1.47508455957624e-95
ENSMUSG00000023043.7	431.334735717459	-6.15226203112708	0.293867783862251	-20.9354763229538	2.54508584106908e-97	6.05116099109355e-95
ENSMUSG00000041439.15	887.354500993919	-2.8496603099283	0.136156879989415	-20.9292421370837	2.90071447690527e-97	6.8183271539529e-95
ENSMUSG00000000308.14	361.166641637386	-6.06337499431955	0.292390023150855	-20.7372841555241	1.59690939794371e-95	3.71146864005232e-93
ENSMUSG00000016028.11	379.490127599433	-6.33166019470545	0.305610274384499	-20.7180868099329	2.37954331246932e-95	5.46898371315866e-93
ENSMUSG00000057963.9	694.706514442334	-3.18850477662457	0.154409943575507	-20.6496078088739	9.8415501757488e-95	2.23706005917982e-92
ENSMUSG00000017861.11	452.345440329472	-3.31908634956245	0.161069758929413	-20.6065146655928	2.39896043651129e-94	5.3937496336126e-92
ENSMUSG00000029832.16	323.806748516109	-4.90316260857061	0.238208757815866	-20.5834691114116	3.86040564243709e-94	8.58628932406572e-92
ENSMUSG00000021678.9	343.242545005981	-4.20980071360098	0.204703021346285	-20.5654058543645	5.60291762362463e-94	1.23293990473059e-91
ENSMUSG00000024812.11	1849.12680835925	-2.05011706058807	0.0998584552016698	-20.5302300786422	1.15626119693496e-93	2.51760661669471e-91
ENSMUSG00000028179.12	527.635456084135	-3.04535652702053	0.148343304283429	-20.5291134758734	1.18313691841065e-93	2.54929032888794e-91
ENSMUSG00000030353.15	644.872890218824	-2.66386584895805	0.129778630810385	-20.5262286427582	1.25549271420064e-93	2.67730585497322e-91
ENSMUSG00000025582.4	424.886640752683	-3.10589646156015	0.151451113944504	-20.5075841350249	1.84219940742106e-93	3.88835660637802e-91
ENSMUSG00000030093.7	368.907400583948	-6.51652668683654	0.319221743771812	-20.41379327686	1.26107302659201e-92	2.63487833889453e-90
ENSMUSG00000041362.17	459.448558884377	-3.38079619399266	0.165668937278373	-20.4069407912716	1.45086344078388e-92	3.00111102726145e-90
ENSMUSG00000071847.13	976.15886111791	-2.16971287638462	0.107298988440171	-20.2211866852261	6.37315665926498e-91	1.30523510392966e-88
ENSMUSG00000053030.11	715.50082938293	-8.16007472361765	0.403791811346727	-20.2086186354353	8.22168780137053e-91	1.66730992324852e-88
ENSMUSG00000022865.14	1017.87879253508	-3.41239797722674	0.169222195679619	-20.1651914722066	1.97979097048055e-90	3.97592002178546e-88
ENSMUSG00000039457.4	325.359091152459	-3.87488140061613	0.192365042446313	-20.1433761110601	3.07634253062202e-90	6.11866781210735e-88
ENSMUSG00000102752.1	291.64659956767	-4.09673885156052	0.203387529121339	-20.1425272692922	3.12952587580633e-90	6.16516597533846e-88
ENSMUSG00000029154.13	732.110154267377	-8.29199918046363	0.412296177113627	-20.1117537361458	5.82282908914078e-90	1.13627565763092e-87
ENSMUSG00000028128.13	1790.73714420919	2.08948925437485	0.103943454636286	20.1021724906709	7.06328454222839e-90	1.36545832482238e-87
ENSMUSG00000022346.16	4842.22609873787	-2.52473463744407	0.12592486056144	-20.0495329213586	2.03748968938e-89	3.90235872452087e-87
ENSMUSG00000022102.13	303.623290386049	-5.63756264483322	0.281441676135227	-20.0310157409825	2.95567583446799e-89	5.60900501247434e-87
ENSMUSG00000021182.16	302.517942414175	-4.03012351380717	0.201596739836459	-19.991015316401	6.59403538365857e-89	1.23997838100889e-86
ENSMUSG00000028434.12	984.557902348323	-2.52759336241865	0.126706088915699	-19.9484759102645	1.54527390356542e-88	2.87963880137393e-86
ENSMUSG00000042216.13	360.194848786701	-3.34072046506527	0.167525689624817	-19.9415413394029	1.77510080385895e-88	3.27838929712701e-86
ENSMUSG00000019996.17	303.582146360483	-4.80506041663468	0.241070290939857	-19.9321965303201	2.1396234097386e-88	3.91664692304804e-86
ENSMUSG00000029449.11	351.093618045144	-3.84161418325863	0.193262100218279	-19.8777420866261	6.34245521588454e-88	1.15082180825063e-85
ENSMUSG00000085925.3	338.053029119659	-3.27185934752796	0.165096129416791	-19.8179046297811	2.08615744568405e-87	3.75236232730214e-85
ENSMUSG00000024965.9	348.972743614779	-5.42015962307682	0.273716072405191	-19.8021240603408	2.85402341890415e-87	5.08926503620968e-85
ENSMUSG00000031075.19	2030.17144934372	-1.83815480741807	0.0937393948250768	-19.6092028420727	1.29038492881417e-85	2.28133438055735e-83
ENSMUSG00000028954.11	2684.46686229888	-1.81331325441787	0.0928309646132211	-19.5334957680663	5.70007016500979e-85	9.99202977654471e-83
ENSMUSG00000092586.8	2363.28781705555	-10.9875863386609	0.563412100849857	-19.5018643051634	1.0585271084712e-84	1.83996917972494e-82
ENSMUSG00000026638.15	451.502065913762	-7.31017696336991	0.379907689851381	-19.2419820884111	1.6478503444643e-82	2.84048203127035e-80
ENSMUSG00000027456.8	288.322867331593	-5.87949219934381	0.305814235124945	-19.2256982312862	2.25582290519187e-82	3.85633857800776e-80
ENSMUSG00000044737.6	429.372090230939	-7.15531406798619	0.372406757220264	-19.2137063285189	2.8423075411642e-82	4.8191091384411e-80
ENSMUSG00000025481.12	243.764870255452	-4.57706703242556	0.239210912120429	-19.134022741075	1.31522400584149e-81	2.21182183421391e-79
ENSMUSG00000002384.2	247.532981563094	-4.43089743892832	0.232090570658278	-19.0912428124976	2.98580765002712e-81	4.98076058393636e-79
ENSMUSG00000040152.8	93738.0679651414	1.87266063851241	0.0981363891236036	19.0822248019925	3.54828561721507e-81	5.8717030393675e-79
ENSMUSG00000006310.10	295.561640458407	-5.63956290187962	0.295785007939492	-19.0664257839373	4.80013463824238e-81	7.88022103111457e-79
ENSMUSG00000030168.13	2442.91772912684	-2.07835745639104	0.109195877923367	-19.0332959074666	9.03849937997707e-81	1.47213669035296e-78
ENSMUSG00000027377.2	378.064217536469	-7.05246300768019	0.370809208206209	-19.0191150910101	1.18466077354214e-80	1.91443032036868e-78
ENSMUSG00000052180.15	292.042895269266	-4.69975669628747	0.247504761612291	-18.9885506269552	2.12102185320776e-80	3.40103387857384e-78
ENSMUSG00000033491.13	657.715240448746	-2.68498692605137	0.141696881927713	-18.9488074086282	4.51704512104044e-80	7.18731371759396e-78
ENSMUSG00000025085.16	1460.69397477288	-2.09032064437943	0.110369825840267	-18.9392402177444	5.41732085416345e-80	8.55399098231839e-78
ENSMUSG00000034382.14	236.015413333469	-4.14735129953482	0.219778922198919	-18.8705598245728	1.99177291272012e-79	3.12119868936483e-77
ENSMUSG00000042367.12	551.442960841875	-3.15868497186198	0.167607786374026	-18.8456935098063	3.18760086145438e-79	4.95755818189352e-77
ENSMUSG00000003283.15	351.12049451247	-3.50770779484425	0.187066988179285	-18.7510785787735	1.89704330611084e-78	2.92838364081364e-76
ENSMUSG00000098678.1	270.802327684771	-5.94895438364515	0.318797546993917	-18.6606027547592	1.03556512627163e-77	1.58671589903175e-75
ENSMUSG00000035852.11	755.108486554572	-8.82524711132299	0.472995153273064	-18.6582189061631	1.08280569258979e-77	1.64689968758969e-75
ENSMUSG00000036473.16	1493.55358770599	-1.8506774524275	0.0993906189359015	-18.6202427577298	2.20213556517049e-77	3.32490322376288e-75
ENSMUSG00000027544.16	366.329664985594	-7.09607751488972	0.382722478877326	-18.5410523460897	9.63184098083928e-77	1.44372920788884e-74
ENSMUSG00000031298.15	1967.57319969706	1.95201843571446	0.10548468342198	18.5052310192335	1.87373835604362e-76	2.78836531616994e-74
ENSMUSG00000026450.14	354.229278414197	-7.04755639445545	0.38175439622287	-18.4609698386841	4.25630012534326e-76	6.28868343519467e-74
ENSMUSG00000028111.4	1432.84014485477	1.72447305438911	0.0936513605576614	18.4137533520118	1.01908857859022e-75	1.49502462752756e-73
ENSMUSG00000023092.16	1690.79250594591	1.72122209175711	0.0935880739194236	18.3914682680512	1.53759011493152e-75	2.23979236108158e-73
ENSMUSG00000047501.3	1465.27554731369	-10.298222602083	0.560684860148624	-18.3672207581156	2.40411355590467e-75	3.47755866460756e-73
ENSMUSG00000087166.9	1521.57803979662	-10.3510576644179	0.56364347648562	-18.3645479744711	2.52543661995631e-75	3.62768447804141e-73
ENSMUSG00000020782.18	792.420960470031	-3.31648067880837	0.180743921970134	-18.3490578419361	3.35886183514383e-75	4.79159014206552e-73
ENSMUSG00000006342.15	314.472600515592	-3.4487643152501	0.188733214378294	-18.273224067161	1.35220566792095e-74	1.91577905759896e-72
ENSMUSG00000033361.13	581.545385205688	-2.41379666844139	0.132191167123153	-18.259893765766	1.7262670082119e-74	2.42910429012675e-72
ENSMUSG00000039621.13	359.95256065169	-3.6794805346632	0.202466928265156	-18.1732422484548	8.40799501956842e-74	1.17513092553901e-71
ENSMUSG00000014846.12	534.461448816163	-3.64934645959859	0.200915785425941	-18.1635626681198	1.00299452389769e-73	1.39241219643112e-71
ENSMUSG00000031803.8	247.892136080557	-5.60866548171807	0.309850772684426	-18.1011828149621	3.11897503470489e-73	4.30106657285804e-71
ENSMUSG00000000120.6	240.798524398655	-5.29583958016594	0.292820443386798	-18.0856210683708	4.13680715601297e-73	5.66687788226016e-71
ENSMUSG00000051375.15	328.546520331844	-2.84332116274225	0.157836352082446	-18.0143618705597	1.50304207629846e-72	2.04542272027852e-70
ENSMUSG00000028581.17	347.487165027043	-7.11301842559868	0.395178732474417	-17.9994970403908	1.96596170834798e-72	2.65790313314889e-70
ENSMUSG00000024529.14	35328.4241412604	1.57651783014089	0.0879598150947472	17.9231598934436	7.7781790534464e-72	1.04475086831519e-69
ENSMUSG00000027220.2	951.106635595471	2.22328220075324	0.124088569548169	17.916897655027	8.70492589273299e-72	1.16168640058827e-69
ENSMUSG00000051076.8	213.853823903101	-4.72065148611901	0.263637711156766	-17.9058279083298	1.06204091788466e-71	1.40822540938745e-69
ENSMUSG00000020173.17	704.976410756063	-2.1848063327357	0.122057143810382	-17.8998644776567	1.18209216063127e-71	1.55742524475528e-69
ENSMUSG00000021895.10	527.84214255562	-2.53543088018456	0.14178270710064	-17.8825114291609	1.61400148860228e-71	2.11301397416064e-69
ENSMUSG00000073722.3	562.577666025924	-8.25875060414746	0.462071927450892	-17.8733009159601	1.9038786464006e-71	2.47683835225134e-69
ENSMUSG00000026981.15	4900.75939867299	1.68004301594914	0.094025586283836	17.8679344883592	2.09613047871151e-71	2.70990368450923e-69
ENSMUSG00000042306.11	674.269828464533	-8.66024246738496	0.486267011254778	-17.8096442220866	5.94867313514656e-71	7.64275178885134e-69
ENSMUSG00000011179.8	2561.64978224012	-1.53327460609987	0.0861018004906179	-17.8076950465971	6.15946045904401e-71	7.8647184935386e-69
ENSMUSG00000000889.8	230.108762376209	-5.19114523423278	0.292590389573083	-17.7420223603624	1.98654804999686e-70	2.52096603768006e-68
ENSMUSG00000026249.10	14421.9545269017	1.90642548406951	0.10755744222363	17.7247194118444	2.70258225539998e-70	3.40871426542369e-68
ENSMUSG00000030091.17	509.783576430131	-8.11861463807219	0.45811305351899	-17.72185833979	2.84361386691583e-70	3.5648577477063e-68
ENSMUSG00000002228.7	239.421949661717	-3.85872419276524	0.218318151391537	-17.6747749473424	6.56016746932698e-70	8.17452193391739e-68
ENSMUSG00000025357.8	848.930211482456	-2.07365597924241	0.117668128587736	-17.6229196820806	1.64302046848605e-69	2.03508253836131e-67
ENSMUSG00000044641.7	280.873235276356	-3.02674702366294	0.171851365406826	-17.6125864144151	1.97223626903576e-69	2.42831590625027e-67
ENSMUSG00000044393.15	315.964077918178	-6.97239044599369	0.398035834433511	-17.5169917952661	1.06299456273483e-68	1.3010676053355e-66
ENSMUSG00000018411.17	222.613179645672	-5.18096076123423	0.29635689945892	-17.4821668423899	1.95910799611348e-68	2.38377346468278e-66
ENSMUSG00000024222.17	762.795842911372	-2.10856662110409	0.120810661491953	-17.4534812992854	3.23877407970579e-68	3.91778022448621e-66
ENSMUSG00000023039.17	500.652761877304	-3.38298565662906	0.193844154341487	-17.4520901500563	3.31863485947131e-68	3.99104430628861e-66
ENSMUSG00000036553.16	213.609287224151	-3.46322600151847	0.198508260004201	-17.4462563998353	3.67546552163106e-68	4.39462452687506e-66
ENSMUSG00000028392.15	269.257828149184	-6.47830243154145	0.371424645119156	-17.4417678435505	3.97583136836662e-68	4.72644091118756e-66
ENSMUSG00000038028.9	837.462954411231	-2.38059157255947	0.13659757822904	-17.4277729036148	5.07857111760292e-68	6.00287106100665e-66
ENSMUSG00000041649.13	472.84438886291	-3.30462346100908	0.189640644858475	-17.4257130557389	5.26480348421614e-68	6.18763977676198e-66
ENSMUSG00000037465.10	1633.59778087248	-1.81776240648431	0.104434085467374	-17.4058344873638	7.45122520760321e-68	8.70783013668205e-66
ENSMUSG00000078670.3	299.479961404279	-2.7780016821338	0.159630158738448	-17.4027370773058	7.86532217040719e-68	9.14012298285802e-66
ENSMUSG00000050296.14	288.465858725799	-6.65668605231149	0.382715082002386	-17.3933204238603	9.27045475806426e-68	1.0712813221819e-65
ENSMUSG00000054423.14	202.525916594121	-4.24758002302195	0.245494340365736	-17.3021504963981	4.53153264459499e-67	5.20748626408041e-65
ENSMUSG00000092035.8	1371.60266482092	-1.63330956123538	0.0944705866177319	-17.2890803340139	5.68520643442737e-67	6.49715442520056e-65
ENSMUSG00000022596.3	1256.07273855396	-2.36842819095796	0.137529798887952	-17.2212001334166	1.8413014855958e-66	2.09270995766754e-64
ENSMUSG00000032420.8	1357.37115603209	-2.44584105128457	0.142045191047256	-17.2187529423005	1.92082425820721e-66	2.17116119021946e-64
ENSMUSG00000049044.16	223.949875625214	-5.50576862138741	0.319769906740295	-17.2179073306575	1.94909117684511e-66	2.19113864092615e-64
ENSMUSG00000041605.16	270.761338080909	-2.97671489044146	0.173674454975277	-17.1396241943882	7.51347043643986e-66	8.40087221501398e-64
ENSMUSG00000052397.8	2218.20289324756	-1.91177578298499	0.111546163294606	-17.1388753007647	7.61086129397121e-66	8.46401429385991e-64
ENSMUSG00000092060.4	274.298711129967	-4.31414927324686	0.251894351803575	-17.1268202020305	9.36344638655394e-66	1.03573737168913e-63
ENSMUSG00000014602.15	2159.09307424308	1.76810011639453	0.10340212372021	17.0992630787615	1.50292621425289e-65	1.65361855009687e-63
ENSMUSG00000038235.4	1182.35697637145	-2.21701534747976	0.129684355477348	-17.0954726136338	1.60390487221975e-65	1.75538477681828e-63
ENSMUSG00000035773.6	203.488940653863	-4.55924285508038	0.267573332114422	-17.0392274112381	4.20246390559797e-65	4.57515609933126e-63
ENSMUSG00000026202.13	1810.79965212387	-2.18148705903129	0.12870212938808	-16.949890956764	1.92811059901634e-64	2.08811349427503e-62
ENSMUSG00000041235.12	258.32368251731	-2.95767038669918	0.174783750358819	-16.9218842176535	3.10341122476838e-64	3.34344068668406e-62
ENSMUSG00000028766.10	185.312155440914	-4.67851028319819	0.276521161387883	-16.919176310834	3.24943150247028e-64	3.482616094746e-62
ENSMUSG00000074743.4	2624.38146914268	1.55690921121423	0.0921919357981953	16.8876941104941	5.54272940672076e-64	5.90986380299067e-62
ENSMUSG00000030411.16	265.122827813779	-3.43749845823209	0.203636600944875	-16.880553114136	6.2555967455835e-64	6.63574454781512e-62
ENSMUSG00000035834.11	552.633463264653	-2.84884219201316	0.168815181099708	-16.8755094977539	6.81345696955589e-64	7.19063048037059e-62
ENSMUSG00000029168.14	536.566607750044	-8.48351036233517	0.503035789899654	-16.86462580332	8.19192551854378e-64	8.60152179447097e-62
ENSMUSG00000001021.13	202.401125329186	-5.76676317037404	0.342416732105491	-16.8413591675696	1.21415374793412e-63	1.268422741213e-61
ENSMUSG00000034730.17	368.898870908673	-7.4106094234306	0.440087026735949	-16.8389635986178	1.26431486334725e-63	1.31418859036874e-61
ENSMUSG00000032561.15	197.097714610688	-4.83727757529373	0.287894287063976	-16.8022701131919	2.34879805182519e-63	2.4292443851002e-61
ENSMUSG00000029246.14	914.482644010684	-2.06105747977751	0.122704463302513	-16.7969234721008	2.57034771701717e-63	2.645156344602e-61
ENSMUSG00000021696.9	310.372647971998	-3.56092448021148	0.212067481910037	-16.7914686784563	2.81784554304233e-63	2.88550173553617e-61
